teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N060003","CABLE INTERLOCK NEGRO NACIONAL",#ENE-CAB,#REV-TAN-0085,#ENE-CAB-0007
"N081093","ALAMBRE 12",#ENE-CAB,#REV-TAN-0013,#ENE-CAB-0008
"N081094","ALAMBRE 18/19",#ENE-CAB,#REV-TAN-0014,#ENE-CAB-0009
"N040213","LAMPARA LED P/CALLE NACIONAL",#ENE-ILU,#REV-TAN-0334,#ENE-ILU-0001
"N081056","LAMPARA LED",#ENE-ILU,#REV-TAN-0332,#ENE-ILU-0002
"N060220","REFLECTORES 30W",#ENE-ILU,#REV-TAN-0513,#ENE-ILU-0003
"N081130","PLAFON P/LISTON LED",#ENE-ILU,#REV-TAN-0480,#ENE-ILU-0004
"N081193","GRUPO ELECTROGENO",#ENE-GEN,#REV-TAN-0291,#ENE-GEN-0001
"N090102","GRUPO ELETROGENO 15 KVA",#ENE-GEN,#REV-TAN-0293,#ENE-GEN-0002
"N081236","FUSIBLE",#ENE-ELE,#REV-TAN-0271,#ENE-ELE-0037
"N080975","FUSIBLE 10 Amp.",#ENE-ELE,#REV-TAN-0272,#ENE-ELE-0038
"N080976","PORTA FUSIBLE",#ENE-ELE,#REV-TAN-0485,#ENE-ELE-0039
"N081196","JABALINA PUESTA TIERRA",#ENE-ELE,#REV-TAN-0312,#ENE-ELE-0040
"N040326","BORNE P/JABALINA 3/4 NACIONAL",#ENE-ELE,#REV-TAN-0049,#ENE-ELE-0041
"N081223","CAJA ESTANCO",#ENE-ELE,#REV-TAN-0110,#ENE-ELE-0042
"FUENTES","FUENTES DOCSIS",#ENE-FTE,#REV-TAN-0268,#ENE-FTE-0102
"N080920","PFM374-L45 CAJA P/BATERIAL SOLAR",#ENE-RACK,#REV-TAN-0456,#ENE-RACK-0047
"N020554","AISLANTE P/CAÑO DE COBRE",#ENE-CLIMA,#REV-TAN-0012,#ENE-CLIMA-0013
"N080100","PLAQUETA UNIVERSAL QD-U08PGC+ para A/A.",#ENE-CLIMA,#REV-TAN-0483,#ENE-CLIMA-0014
"N080831","ESTUFA/ CALOVENTOR",#ENE-CLIMA,#REV-TAN-0241,#ENE-CLIMA-0015
"N081054","VENTILADOR DE PIE",#ENE-CLIMA,#REV-TAN-0592,#ENE-CLIMA-0016
"N081139","CAPACITOR",#CMP-ELE,#REV-TAN-0126,#CMP-ELE-0001
"N081137","CAPACITOR 20UF /440V",#CMP-ELE,#REV-TAN-0127,#CMP-ELE-0002
"N081140","DIODO",#CMP-ELE,#REV-TAN-0210,#CMP-ELE-0003
"N081141","MOSFET IRF840",#CMP-ELE,#REV-TAN-0395,#CMP-ELE-0004
"N081058","CIRCUITO INTEGRADO",#CMP-ELE,#REV-TAN-0148,#CMP-ELE-0005
"N080958","TERMINAL PALA P/CABLE",#CMP-CNX,#REV-TAN-0554,#CMP-CNX-0001
"N080959","TERMINAL OJAL P/CABLE",#CMP-CNX,#REV-TAN-0553,#CMP-CNX-0002
"N081090","TERMINAL OJAL GRANDE P/CABLE",#CMP-CNX,#REV-TAN-0552,#CMP-CNX-0003
"N081235","BORNERA",#CMP-CNX,#REV-TAN-0051,#CMP-CNX-0004
"N080880","FICHA MACHO",#CMP-CNX,#REV-TAN-0255,#CMP-CNX-0005
"N080960","FICHA HEMBRA",#CMP-CNX,#REV-TAN-0254,#CMP-CNX-0006
"N020470","ADAPT. ENCHUFE MIX A REDONDO",#CMP-CNX,#REV-TAN-0005,#CMP-CNX-0007
"N020182","ADAPT. ENCHUFE MIX A OBLICUO NACIONAL",#CMP-CNX,#REV-TAN-0004,#CMP-CNX-0008
"N080977","ESTAÑO",#CMP-SOL,#REV-TAN-0238,#CMP-SOL-0001
"N081125","MALLA DESOLDANTE",#CMP-SOL,#REV-TAN-0356,#CMP-SOL-0002
"N081170","CONTACFLUX - FLUX",#CMP-SOL,#REV-TAN-0159,#CMP-SOL-0003
"N081160","GRASA DISIPADORA DE CALOR",#CMP-SOL,#REV-TAN-0288,#CMP-SOL-0004
"N080101","ELECTRODO 2,5mm P/SOLDAR - PUNTA AZUL",#CMP-SOL,#REV-TAN-0223,#CMP-SOL-0005
"N030200","VARILLA PARA SOLDAR PLATA",#CMP-SOL,#REV-TAN-0589,#CMP-SOL-0006
"N030201","PICO PARA SOLDAR GIRATORIO",#CMP-SOL,#REV-TAN-0457,#CMP-SOL-0007
"030177","GAS BUTANO REPUESTO P/SOPLETE",#CMP-SOL,#REV-TAN-0278,#CMP-SOL-0008
"N030188","PUNTA PARA SOPLETE AEROSOL",#CMP-SOL,#REV-TAN-0500,#CMP-SOL-0009
"N030196","GARRAFA P/SOLDADURA REFRIG. 400 G",#CMP-SOL,#REV-TAN-0277,#CMP-SOL-0010
"RCA","CABLE RCA A PLUGIN DE 3,5",#TI-CAB,#REV-TAN-0092,#TI-CAB-0001
"RCA1","CABLE RCA A RCA",#TI-CAB,#REV-TAN-0093,#TI-CAB-0002
"N020439","CABLE PUGIN A PUGIN",#TI-CAB,#REV-TAN-0091,#TI-CAB-0003
"N020458","CABLE HDMI",#TI-CAB,#REV-TAN-0080,#TI-CAB-0004
"N010689","CABLE HDMI x5mts",#TI-CAB,#REV-TAN-0083,#TI-CAB-0005
"N020461","CABLE HDMI x 10 mts",#TI-CAB,#REV-TAN-0081,#TI-CAB-0006
"N060082","DH-W-HDMI x 15 mts NACIONAL",#TI-CAB,#REV-TAN-0207,#TI-CAB-0007
"N081055","CABLE VGA",#TI-CAB,#REV-TAN-0107,#TI-CAB-0008
"N060125","CABLE USB A MINI USB x2mts NACIONAL",#TI-CAB,#REV-TAN-0105,#TI-CAB-0009
"I060125","CABLE USB A MINI USB x2mts IMPORTADO",#TI-CAB,#REV-TAN-0104,#TI-CAB-0010
"N062269","CABLE USB A a USB B",#TI-CAB,#REV-TAN-0106,#TI-CAB-0011
"N062267","CABLE ALARGUE USB MACHO/HEMBRA",#TI-CAB,#REV-TAN-0070,#TI-CAB-0012
"N060115","CABLE CONSOLA/USB",#TI-CAB,#REV-TAN-0073,#TI-CAB-0013
"N060083","IR-3.5MM-3M CABLE RECP.INFRARO NACIONAL",#TI-CAB,#REV-TAN-0309,#TI-CAB-0014
"N060222","COOLER P/PC",#TI-COMP,#REV-TAN-0174,#TI-COMP-0001
"N060221","PLACAS PC",#TI-COMP,#REV-TAN-0479,#TI-COMP-0002
"N062247","PLACA DE RED PCI",#TI-COMP,#REV-TAN-0471,#TI-COMP-0003
"N062268","PLACA DE VIDEO",#TI-COMP,#REV-TAN-0472,#TI-COMP-0004
"N062264","PLACA MADRE",#TI-COMP,#REV-TAN-0476,#TI-COMP-0005
"N062263","MICRO PROCESADOR INTEL CORE I7",#TI-COMP,#REV-TAN-0377,#TI-COMP-0006
"N060067","PLACA HDMI P/PC - 4 SALIDAS NACIONAL",#TI-COMP,#REV-TAN-0474,#TI-COMP-0007
"N062262","PEN DRIVE 16 GB",#TI-ALM,#REV-TAN-0450,#TI-ALM-0048
"N060226","DISCOS RIGIDOS P/PC",#TI-ALM,#REV-TAN-0211,#TI-ALM-0049
"N060069","PC EXO READY C2-V5448-i5 NACIONAL",#TI-PC,#REV-TAN-0445,#TI-PC-0043
"090301","EQUIPOS CELULARES",#TI-PC,#REV-TAN-0230,#TI-PC-0044
"090006","Parlante p/PC",#TI-PER,#REV-TAN-0503,#TI-PER-0001
"090304","VINCHA AURICULAR",#TI-PER,#REV-TAN-0596,#TI-PER-0002
"N081169","AURICULAR",#TI-PER,#REV-TAN-0031,#TI-PER-0003
"N081145","MICROFONO P/PODCASTS",#TI-PER,#REV-TAN-0382,#TI-PER-0004
"N081190","INTERFAZ AUDIO AI-MICRO 2 CANALES 3,5mm",#TI-PER,#REV-TAN-0305,#TI-PER-0005
"N060238","HUB USB x4 PUERTOS",#TI-PER,#REV-TAN-0300,#TI-PER-0006
"N062271","TINTA EPSON 544",#TI-INS,#REV-TAN-0560,#TI-INS-0001
"N060234","TINTA EPSON 664 - NEGRA",#TI-INS,#REV-TAN-0564,#TI-INS-0002
"N060237","TINTA EPSON 664 - AMARILLO",#TI-INS,#REV-TAN-0561,#TI-INS-0003
"N060235","TINTA EPSON 664 - CIAN",#TI-INS,#REV-TAN-0562,#TI-INS-0004
"N060236","TINTA EPSON 664 - MAGENTA",#TI-INS,#REV-TAN-0563,#TI-INS-0005
"N062256","DRUM ALT",#TI-INS,#REV-TAN-0216,#TI-INS-0006
"090313","ALICATE DE CORTE OBLICUO 6""",#HER-TOOL,#REV-TAN-0019,#HER-TOOL-0119
"090310","ALICATE DE CORTE OBLICUO",#HER-TOOL,#REV-TAN-0018,#HER-TOOL-0120
"030148","CUTTER TRAPEZOIDAL 19mm",#HER-TOOL,#REV-TAN-0181,#HER-TOOL-0121
"N030203","CUTTER COMUN 18mm",#HER-TOOL,#REV-TAN-0180,#HER-TOOL-0122
"N081184","CUTER TRINCHETA",#HER-TOOL,#REV-TAN-0179,#HER-TOOL-0123
"N030204","REPUESTO FILO CUTTER 18mm",#HER-TOOL,#REV-TAN-0520,#HER-TOOL-0124
"N030181","REPUESTO FILO CUTTER TRAPEZOIDAL X 10 UN.",#HER-TOOL,#REV-TAN-0521,#HER-TOOL-0125
"N030306","MACHETE TIPO CIRIRI-20""",#HER-TOOL,#REV-TAN-0353,#HER-TOOL-0126
"N030185","TIJERA PARA OJALATA",#HER-TOOL,#REV-TAN-0557,#HER-TOOL-0127
"N030170","LIMA DE METAL",#HER-TOOL,#REV-TAN-0349,#HER-TOOL-0128
"N030369","ESPATULA",#HER-TOOL,#REV-TAN-0237,#HER-TOOL-0129
"N030168","JUEGO DE LLAVER TORX",#HER-TOOL,#REV-TAN-0313,#HER-TOOL-0130
"N030169","JUEGO DE LLAVES T (11, 12, 13 Y 14)",#HER-TOOL,#REV-TAN-0314,#HER-TOOL-0131
"N030412","KIT DE PINZAS",#HER-TOOL,#REV-TAN-0323,#HER-TOOL-0132
"N030411","KIT DESTORNILLADORES",#HER-TOOL,#REV-TAN-0324,#HER-TOOL-0133
"N030407","MANGO CRIQUE",#HER-TOOL,#REV-TAN-0357,#HER-TOOL-0134
"030137","ROTOMARTILLO",#HER-TOOL,#REV-TAN-0528,#HER-TOOL-0135
"N030097","MOTOSIERRA PROFESIONAL NACIONAL",#HER-TOOL,#REV-TAN-0399,#HER-TOOL-0136
"N030372","DESMALEZADORA",#HER-TOOL,#REV-TAN-0204,#HER-TOOL-0137
"N081203","HIDROLAVADORA",#HER-TOOL,#REV-TAN-0298,#HER-TOOL-0138
"N030408","MALACATE",#HER-TOOL,#REV-TAN-0355,#HER-TOOL-0139
"N030167","DEVANADORA",#HER-TOOL,#REV-TAN-0205,#HER-TOOL-0140
"N030037","ZUNCHADORA NACIONAL",#HER-TOOL,#REV-TAN-0601,#HER-TOOL-0141
"N030039","PASTECA SIMPLE NACIONAL",#HER-TOOL,#REV-TAN-0443,#HER-TOOL-0142
"N030141","PORTA BOBINA CHICO",#HER-TOOL,#REV-TAN-0484,#HER-TOOL-0143
"N030182","MORDAZA TIPO PEINE UNIVERSAL",#HER-TOOL,#REV-TAN-0394,#HER-TOOL-0144
"N030199","PUNZON EXPANSOR",#HER-TOOL,#REV-TAN-0501,#HER-TOOL-0145
